"","respondent_id","USBORN","DEGREE","SS048M1","SS044","SS045","SS046","SS047","SS003_1","SS004_1","SS008_1","SS005_1","SS006_1","SS007_1","deathexpense_special","usborn","degree","deathexpense_usd"
"358","908514_10",5,0,3,9000,NA,NA,NA,5,NA,NA,NA,NA,NA,1,"foreign","No degree",9000
"359","910368_21",1,9,5,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","Degree unknown/Some College",0
"360","910771_20",5,2,3,30000,NA,NA,NA,5,NA,NA,NA,NA,NA,1,"foreign","High school diploma",30000
"361","911659_20",1,0,5,7000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","No degree",7000
"362","911801_20",5,0,5,20000,NA,NA,NA,1,NA,NA,NA,NA,NA,0,"foreign","No degree",20000
"363","912641_10",5,0,5,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"foreign","No degree",0
"364","913159_20",1,3,5,9999998,5000,5000,NA,2,700,4,NA,NA,NA,0,"us-born","College degree",5000
"365","914306_20",1,2,5,9999998,2001,4999,NA,8,NA,NA,NA,NA,NA,0,"us-born","High school diploma",3500
"366","914655_10",5,0,7,17000,NA,NA,NA,5,NA,NA,NA,NA,NA,1,"foreign","No degree",17000
"367","915295_10",1,2,5,3000,NA,NA,NA,3,2100,4,NA,NA,NA,0,"us-born","High school diploma",3000
"368","915825_10",1,0,5,5000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","No degree",5000
"369","915940_10",1,2,5,10000,NA,NA,NA,2,1400,4,NA,NA,NA,0,"us-born","High school diploma",10000
"370","916415_20",5,2,5,15000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"foreign","High school diploma",15000
"371","917577_10",5,0,3,28000,NA,NA,NA,5,NA,NA,NA,NA,NA,1,"foreign","No degree",28000
"372","917845_10",1,4,7,9999998,2001,4999,NA,2,1200,4,NA,NA,NA,1,"us-born","College degree",3500
"373","918270_20",5,0,5,9999998,2001,4999,NA,5,NA,NA,NA,NA,NA,0,"foreign","No degree",3500
"374","918670_20",1,2,5,1500,NA,NA,NA,2,99999998,NA,1001,99999996,NA,0,"us-born","High school diploma",1500
"375","918990_10",5,0,5,5000,NA,NA,NA,3,841,4,NA,NA,NA,0,"foreign","No degree",5000
"376","919600_20",1,9,5,0,NA,NA,NA,2,1650,4,NA,NA,NA,0,"us-born","Degree unknown/Some College",0
"377","11911_40",1,2,5,32000,NA,NA,NA,2,191,4,NA,NA,NA,0,"us-born","High school diploma",32000
"378","12009_10",1,5,5,99998,0,1999,NA,5,NA,NA,NA,NA,NA,0,"us-born","Postgraduate degree",999.5
"379","12276_30",5,2,5,99998,2001,4999,NA,2,1200,4,NA,NA,NA,0,"foreign","High school diploma",3500
"380","13140_10",1,2,5,99998,2001,4999,NA,3,1850,4,NA,NA,NA,0,"us-born","High school diploma",3500
"381","13637_40",1,2,5,12000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",12000
"382","13671_20",1,2,2,12000,NA,NA,NA,5,NA,NA,NA,NA,NA,1,"us-born","High school diploma",12000
"383","14224_10",1,2,5,99998,2000,2000,NA,2,99998,NA,500,500,NA,0,"us-born","High school diploma",2000
"384","14434_20",1,2,5,0,NA,NA,NA,3,99998,NA,351,649,NA,0,"us-born","High school diploma",0
"385","15225_20",1,2,5,1500,NA,NA,NA,3,830,4,NA,NA,NA,0,"us-born","High school diploma",1500
"386","15776_20",1,2,3,2000,NA,NA,NA,3,1430,4,NA,NA,NA,1,"us-born","High school diploma",2000
"387","15992_20",1,2,5,10000,NA,NA,NA,3,1800,4,NA,NA,NA,0,"us-born","High school diploma",10000
"388","16022_10",1,5,2,4000,NA,NA,NA,2,1400,4,NA,NA,NA,1,"us-born","Postgraduate degree",4000
"389","16174_40",1,2,5,10000,NA,NA,NA,2,1000,4,NA,NA,NA,0,"us-born","High school diploma",10000
"390","16648_10",1,4,5,10000,NA,NA,NA,2,-8,8,750,750,NA,0,"us-born","College degree",10000
"391","16975_10",1,2,5,99998,0,1999,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",999.5
"392","16996_20",1,2,2,-8,7000,7000,NA,5,NA,NA,NA,NA,NA,1,"us-born","High school diploma",7000
"393","17075_20",1,2,5,700,NA,NA,NA,3,700,4,NA,NA,NA,0,"us-born","High school diploma",700
"394","17520_10",1,2,5,0,NA,NA,NA,2,20000,6,NA,NA,NA,0,"us-born","High school diploma",0
"395","17750_20",1,2,5,10000,NA,NA,NA,2,700,4,NA,NA,NA,0,"us-born","High school diploma",10000
"396","17938_10",1,4,1,15000,NA,NA,NA,2,99998,-8,1001,99999996,NA,1,"us-born","College degree",15000
"397","18285_30",1,6,5,200,NA,NA,NA,3,-8,7,651,999,NA,0,"us-born","Postgraduate degree",200
"398","18352_10",1,2,5,10000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",10000
"399","18451_10",1,2,5,2000,NA,NA,NA,2,800,4,NA,NA,NA,0,"us-born","High school diploma",2000
"400","18774_20",1,1,5,0,NA,NA,NA,2,99998,NA,1001,99999996,NA,0,"us-born","GED",0
"401","19054_21",1,2,5,99998,5000,5000,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",5000
"402","19687_40",1,2,5,8000,NA,NA,NA,2,2500,4,NA,NA,NA,0,"us-born","High school diploma",8000
